PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_USR,HASH_ID
,A+B,impl arithmetic math,,1000000
,A-B,impl arithmetic math,,1001000
,터렛,geom math,,1002000
,피보나치 함수,dp,,1003000
,어린 왕자,geom,,1004000
,ACM Craft,dp graph topological sorting,,1005000
,습격자 초라기,dp,,1006000
,벡터 매칭,bruteforce math,,1007000
,A/B,impl arithmetic math,,1008000
,분산처리,impl math,,1009000
,다리 놓기,combinatorics dp math,,1010000
,Fly me to the Alpha Centauri,math,,1011000
,유기농 배추,graph traversal bfs dfs,,1012000
,Contact,regex string,,1013000
,컨닝,bitmask dp flow bitfield dp,,1014000
,수열 정렬,sorting,,1015000
,제곱 ㄴㄴ 수,math number theory primality test eratosthenes,,1016000
,소수 쌍,bipartite matching math number theory primality test eratosthenes,,1017000
,체스판 다시 칠하기,bruteforce,,1018000
,책 페이지,math,,1019000
,디지털 카운터,dp,,1020000
,회전하는 큐,ds deque,,1021000
,소용돌이 예쁘게 출력하기,impl math,,1022000
,괄호 문자열,combinatorics dp math,,1023000
,수열의 합,math,,1024000
,제곱수 찾기,bruteforce,,1025000
,보물,greedy math sorting,,1026000
,고층 건물,bruteforce geom math,,1027000
,다이아몬드 광산,dp,,1028000
,그림 교환,bitmask dp bitfield dp,,1029000
,프렉탈 평면,d&c impl recursion,,1030000
,스타 대결,flow,,1031000
,명령 프롬프트,impl string,,1032000
,칵테일,euclidean algorithm graph traversal math number theory,,1033000
,램프,ad-hoc bruteforce,,1034000
,조각 움직이기,bfs bitmask bruteforce graph traversal,,1035000
,36진수,arbitrary precision / big integers greedy impl math string,,1036000
,약수,math number theory,,1037000
,감소하는 수,backtrack bruteforce,,1038000
,교환,bfs graph traversal,,1039000
,정수,bitmask dp bitfield dp greedy,,1040000
,주사위,greedy math,,1041000
,움,dp parsing string,,1042000
,거짓말,ds dsu graph traversal,,1043000
,팀 선발,meet in the middle,,1044000
,도로,graph greedy mst,,1045000
,그림자,geom impl line segment intersection check sweeping,,1046000
,울타리,bruteforce greedy,,1047000
,유니콘,dp prefix sum,,1048000
,기타줄,greedy math,,1049000
,물약,graph parsing string,,1050000
,숫자 정사각형,bruteforce impl,,1051000
,물병,bitmask greedy impl math,,1052000
,팰린드롬 공장,bruteforce dp,,1053000
,팰린드롬 문장,bitmask dp bitfield dp string,,1054000
,끝이없음,impl recursion simulation,,1055000
,수,binary search dp,,1056000
,토너먼트,bruteforce math,,1057000
,친구,bruteforce floyd–warshall graph traversal,,1058000
,좋은 구간,bruteforce math sorting,,1059000
,좋은 수,ds math priority queue sorting,,1060000
,삼각형,convex hull geom,,1061000
,가르침,backtrack bitmask bruteforce,,1062000
,킹,impl simulation,,1063000
,평행사변형,geom math pythagoras thm,,1064000
,한수,bruteforce,,1065000
,에이한수,dp greedy,,1066000
,이동,fft math,,1067000
,트리,dfs graph traversal tree,,1068000
,집으로,ad-hoc case work geom,,1069000
,김지민의 침략,flow mfmc,,1070000
,소트,greedy,,1071000
,게임,binary search math,,1072000
,도미노,eulerian path graph,,1073000
,Z,d&c recursion,,1074000
,나누기,bruteforce math,,1075000
,저항,impl,,1076000
,넓이,convex hull geom line segment intersection check point in convex polygon check area of a polygon,,1077000
,뒤집음,bruteforce math,,1078000
,마피아,bruteforce,,1079000
,행렬,greedy,,1080000
,합,math,,1081000
,방 번호,dp greedy,,1082000
,소트,greedy sorting,,1083000
,방 번호 2,greedy impl,,1084000
,직사각형에서 탈출,geom math,,1085000
,박성원,bitmask dp bitfield dp,,1086000
,쥐 잡기,ternary search,,1087000
,케이크,greedy,,1088000
