PROBLEM_ID,PROBLEM_HASH,PROBLEM_TITLE,PROBLEM_LEVEL,PROBLEM_TAGS
1000,100000,A+B,1,"['implementation', 'arithmetic', 'mathematics']"
1001,100100,A-B,1,"['implementation', 'arithmetic', 'mathematics']"
1002,100200,터렛,8,"['geometry', 'mathematics']"
1003,100300,피보나치 함수,8,['dynamic programming']
1004,100400,어린 왕자,8,"['geometry', 'mathematics']"
1005,100500,ACM Craft,13,"['dynamic programming', 'graph theory', 'topological sorting']"
1006,100600,습격자 초라기,18,['dynamic programming']
1007,100700,벡터 매칭,14,"['bruteforcing', 'mathematics']"
1008,100800,A/B,1,"['implementation', 'arithmetic', 'mathematics']"
1009,100900,분산처리,4,"['implementation', 'mathematics']"
1010,101000,다리 놓기,6,"['combinatorics', 'dynamic programming', 'mathematics']"
1011,101100,Fly me to the Alpha Centauri,11,['mathematics']
1012,101200,유기농 배추,9,"['graph theory', 'graph traversal', 'breadth-first search', 'depth-first search']"
1013,101300,Contact,10,"['regular expression', 'string']"
1014,101400,컨닝,17,"['bitmask', 'dynamic programming', 'maximum flow', 'dynamic programming using bitfield']"
1015,101500,수열 정렬,7,['sorting']
1016,101600,제곱 ㄴㄴ 수,15,"['mathematics', 'number theory', 'primality test', 'sieve of eratosthenes']"
1017,101700,소수 쌍,18,"['bipartite matching', 'mathematics', 'number theory', 'primality test', 'sieve of eratosthenes']"
1018,101800,체스판 다시 칠하기,7,['bruteforcing']
1019,101900,책 페이지,15,['mathematics']
1020,102000,디지털 카운터,18,['dynamic programming']
1021,102100,회전하는 큐,8,"['data structures', 'deque']"
1022,102200,소용돌이 예쁘게 출력하기,12,"['implementation', 'mathematics']"
1023,102300,괄호 문자열,18,"['combinatorics', 'dynamic programming', 'mathematics']"
1024,102400,수열의 합,9,['mathematics']
1025,102500,제곱수 찾기,11,['bruteforcing']
1026,102600,보물,7,"['greedy', 'mathematics', 'sorting']"
1027,102700,고층 건물,11,"['bruteforcing', 'geometry', 'mathematics']"
1028,102800,다이아몬드 광산,16,['dynamic programming']
1029,102900,그림 교환,15,"['bitmask', 'dynamic programming', 'dynamic programming using bitfield']"
1030,103000,프렉탈 평면,13,"['divide and conquer', 'implementation', 'recursion']"
1031,103100,스타 대결,21,['maximum flow']
1032,103200,명령 프롬프트,5,"['implementation', 'string']"
1033,103300,칵테일,14,"['euclidean algorithm', 'graph theory', 'graph traversal', 'mathematics', 'number theory']"
1034,103400,램프,12,"['ad-hoc', 'bruteforcing']"
1035,103500,조각 움직이기,14,"['breadth-first search', 'bitmask', 'bruteforcing', 'graph theory', 'graph traversal']"
1036,103600,36진수,15,"['arbitrary precision / big integers', 'greedy', 'implementation', 'mathematics', 'string']"
1037,103700,약수,5,"['mathematics', 'number theory']"
1038,103800,감소하는 수,11,"['backtracking', 'bruteforcing']"
1039,103900,교환,13,"['breadth-first search', 'graph theory', 'graph traversal']"
1040,104000,정수,19,"['bitmask', 'dynamic programming', 'dynamic programming using bitfield', 'greedy']"
1041,104100,주사위,11,"['greedy', 'mathematics']"
1042,104200,움,20,"['dynamic programming', 'parsing', 'string']"
1043,104300,거짓말,12,"['data structures', 'disjoint set', 'graph theory', 'graph traversal']"
1044,104400,팀 선발,18,"['bitmask', 'meet in the middle']"
1045,104500,도로,15,"['graph theory', 'greedy', 'minimum spanning tree']"
1046,104600,그림자,24,"['geometry', 'implementation', 'line segment intersection check', 'sweeping']"
1047,104700,울타리,16,"['bruteforcing', 'greedy']"
1048,104800,유니콘,17,"['dynamic programming', 'prefix sum']"
1049,104900,기타줄,7,"['greedy', 'mathematics']"
1050,105000,물약,15,"['graph theory', 'parsing', 'string']"
1051,105100,숫자 정사각형,7,"['bruteforcing', 'implementation']"
1052,105200,물병,10,"['bitmask', 'greedy', 'implementation', 'mathematics']"
1053,105300,팰린드롬 공장,14,"['bruteforcing', 'dynamic programming']"
1054,105400,팰린드롬 문장,22,"['bitmask', 'dynamic programming', 'dynamic programming using bitfield', 'string']"
1055,105500,끝이없음,18,"['implementation', 'recursion', 'simulation']"
1056,105600,수,19,"['binary search', 'dynamic programming']"
1057,105700,토너먼트,8,"['bruteforcing', 'mathematics']"
1058,105800,친구,8,"['bruteforcing', 'floyd–warshall', 'graph theory', 'graph traversal']"
1059,105900,좋은 구간,7,"['bruteforcing', 'mathematics', 'sorting']"
1060,106000,좋은 수,15,"['data structures', 'mathematics', 'priority queue', 'sorting']"
1061,106100,삼각형,20,"['convex hull', 'geometry']"
1062,106200,가르침,12,"['backtracking', 'bitmask', 'bruteforcing']"
1063,106300,킹,8,"['implementation', 'simulation']"
1064,106400,평행사변형,7,"['geometry', 'mathematics', 'pythagoras theorem']"
1065,106500,한수,7,['bruteforcing']
1066,106600,에이한수,19,"['dynamic programming', 'greedy']"
1067,106700,이동,20,"['fast fourier transform', 'mathematics']"
